P103106|Electric Motor  Algorithm Based Failures;
C100C01|Fan Module  General electrical failure;
C100C19|Fan Module General Electrical Failures Circuit current above threshold;
B102E11|Air Quality Sensor General Electrical Failures Circuit short to ground;
B102E15|Air Quality Sensor General Electrical Failures Circuit short to battery or open;
B105A11|Cabin Temperature Sensor Fan General Electrical Failures Circuit short to ground;
B105A15|Cabin Temperature Sensor Fan General Electrical Failures Circuit short to battery or open;
B108313|Recirculation Damper Motor General Electrical Failures Circuit open;
B108319|Recirculation Damper Motor General Electrical Failures Circuit current above threshold;
B108377|Recirculation Damper Motor Mechanical Failures Commanded position not reachable;
B108513|Defroster Damper Motor General Electrical Failures Circuit open;
B108519|Defroster Damper Motor General Electrical Failures Circuit current above threshold;
B108577|Defroster Damper Motor Mechanical Failures Commanded position not reachable;
B108613|Air Distribution Damper Motor General Electrical Failures Circuit open;
B108619|Air Distribution Damper Motor General Electrical Failures Circuit current above threshold;
B108677|Air Distribution Damper Motor Mechanical Failures Commanded position not reachable;
B10AE12|Front Left Temperature Damper Motor  General Electrical Failures Circuit short to battery;
B10AE13|Front Left Temperature Damper Motor General Electrical Failures Circuit open;
B10AE14|Front Left Temperature Damper Motor  General Electrical Failures Circuit short to ground or open;
B10AE19|Front Left Temperature Damper Motor General Electrical Failures Circuit current above threshold;
B10AE77|Front Left Temperature Damper Motor Mechanical Failures Commanded position not reachable;
B10B012|Rear Thermal Expansion Valve General Electrical Failures Circuit short to battery;
B10B014|Rear Thermal Expansion Valve General Electrical Failures Circuit short to ground or open;
B10B312|Front Right Temperature Damper Motor General Electrical Failures Circuit short to battery;
B10B313|Front Right Temperature Damper Motor General Electrical Failures Circuit open;
B10B314|Front Right Temperature Damper Motor General Electrical Failures Circuit short to ground or open;
B10B319|Front Right Temperature Damper Motor General Electrical Failures Circuit current above threshold;
B10B377|Front Right Temperature Damper Motor Mechanical Failures Commanded position not reachable;
B10B412|Rear Left Temperature Damper Motor General Electrical Failures Circuit short to battery;
B10B413|Rear Left Temperature Damper Motor General Electrical Failures Circuit open;
B10B414|Rear Left Temperature Damper Motor General Electrical Failures Circuit short to ground or open;
B10B419|Rear Left Temperature Damper Motor General Electrical Failures Circuit current above threshold;
B10B477|Rear Left Temperature Damper Motor Mechanical Failures Commanded position not reachable;
B10B911|Blower Control General Electrical Failures Circuit short to ground;
B10B912|Blower Control General Electrical Failures Circuit short to battery;
B10B914|Blower Control General Electrical Failures Circuit short to ground or open;
B10B915|Blower Control General Electrical Failures Circuit short to battery or open;
B119C11|Temperature Sensor - Right Front Ventilation General Electrical Failures Circuit short to ground;
B119C15|Temperature Sensor - Right Front Ventilation General Electrical Failures Circuit short to battery or open;
B119D11|Temperature Sensor- Left Front Ventilation  General Electrical Failures Circuit short to ground;
B119D15|Temperature Sensor- Left Front Ventilation  General Electrical Failures Circuit short to battery or open;
B11E413|Rear Air Distribution Damper Motor General Electrical Failures Circuit open;
B11E419|Rear Air Distribution Damper Motor General Electrical Failures Circuit current above threshold;
B11E477|Rear Air Distribution Damper Motor Mechanical Failures Commanded position not reachable;
B131611|Temperature Sensor - Left Rear Floor General Electrical Failures Circuit short to ground;
B131615|Temperature Sensor - Left Rear Floor General Electrical Failures Circuit short to battery or open;
B134E11|Temmperature Sensor - Rear Right Floor General Electrical Failures Circuit short to ground;
B134E15|Temmperature Sensor - Rear Right Floor General Electrical Failures Circuit short to battery or open;
B137911|Rear Cabin Temperature Sensor General Electrical Failures Circuit short to ground;
B137915|Rear Cabin Temperature Sensor General Electrical Failures Circuit short to battery or open;
B139B11|Temperature sensors third row vent left General Electrical Failures Circuit short to ground;
B139B15|Temperature sensors third row vent left General Electrical Failures Circuit short to battery or open;
B139C11|Temperature Sensor Rear Left Ventilation General Electrical Failures Circuit short to ground;
B139C15|Temperature Sensor Rear Left Ventilation General Electrical Failures Circuit short to battery or open;
B139D11|Temperature Sensor Rear Right Ventilation General Electrical Failures Circuit short to ground;
B139D15|Temperature Sensor Rear Right Ventilation General Electrical Failures Circuit short to battery or open;
B13A011|Temperature Sensor Front Floor Left General Electrical Failures Circuit short to ground;
B13A015|Temperature Sensor Front Floor Left General Electrical Failures Circuit short to battery or open;
B13A111|Temperature Sensor Front Floor Right General Electrical Failures Circuit short to ground;
B13A115|Temperature Sensor Front Floor Right General Electrical Failures Circuit short to battery or open;
B13B411|Sensor Power Supply 1 General Electrical Failures Circuit short to ground;
B13B415|Sensor Power Supply 1 General Electrical Failures Circuit short to battery or open;
B155411|Air Quality Sensor Power Supply General Electrical Failures Circuit short to ground;
B155415|Air Quality Sensor Power Supply General Electrical Failures Circuit short to battery or open;
B156D11|Temperature Hex sensor  General Electrical Failures Circuit short to ground;
B156D15|Temperature Hex sensor  General Electrical Failures Circuit short to battery or open;
B157311|Material Temperature Sensor General Electrical Failures Circuit short to ground;
B157315|Material Temperature Sensor General Electrical Failures Circuit short to battery or open;
B176812|Mode Motor1 Flap Position Feedback Circuit General Electrical Failures Circuit short to battery;
B176814|Mode Motor1 Flap Position Feedback Circuit General Electrical Failures Circuit short to ground or open;
B176912|Mode Motor2 Flap Position Feedback Circuit General Electrical Failures Circuit short to battery;
B176914|Mode Motor2 Flap Position Feedback Circuit General Electrical Failures Circuit short to ground or open;
B176A12|Recirc Motor Flap Position Feedback Circuit General Electrical Failures Circuit short to battery;
B176A14|Recirc Motor Flap Position Feedback Circuit General Electrical Failures Circuit short to ground or open;
B176B12|Defrost Motor Flap Position Feedback Circuit General Electrical Failures Circuit short to battery;
B176B14|Defrost Motor Flap Position Feedback Circuit General Electrical Failures Circuit short to ground or open;
B176C11|PWM Input Circuit General Electrical Failures Circuit short to ground;
B176C15|PWM Input Circuit General Electrical Failures Circuit short to battery or open;
B1B7111|Evaporator Temperature Sensor General Electrical Failures Circuit short to ground;
B1B7115|Evaporator Temperature Sensor General Electrical Failures Circuit short to battery or open;
B1B7211|LIN Bus #1 Power Supply Circuit General Electrical Failures Circuit short to ground;
B1B7215|LIN Bus #1 Power Supply Circuit General Electrical Failures Circuit short to battery or open;
B1B7311|LIN Bus #2 Power Supply Circuit General Electrical Failures Circuit short to ground;
B1B7315|LIN Bus #2 Power Supply Circuit General Electrical Failures Circuit short to battery or open;
B1B7D01|Rear Air Distribution Actuator  General electrical failure;
B1B7D71|Rear Air Distribution Actuator Mechanical Failures Actuator stuck;
B1B7D83|Rear Air Distribution Actuator Bus Signal / Message Failures Value of signal protection calculation incorrect;
B1B7D87|Rear Air Distribution Actuator Bus Signal / Message Failures Missing message;
U100244|Data Integrity fault in NVM System Internal Failures Data memory failure;
"U102268|ECU Quiescent Current Too High, No Network Communication Requested  Algorithm Based Failures Event information;"
U130286|LIN Bus #3 Bus Signal / Message Failures Signal invalid;
U130686|LIN Bus #12 Bus Signal / Message Failures Signal invalid;
U130786|LIN Bus #13 Bus Signal / Message Failures Signal invalid;
U130886|LIN Bus #14 Bus Signal / Message Failures Signal invalid;
U133C01|HVAC Blower Module Front (HBMF)  General electrical failure;
U133C83|HVAC Blower Module Front (HBMF) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U133C87|HVAC Blower Module Front (HBMF) Bus Signal / Message Failures Missing message;
U133C96|HVAC Blower Module Front (HBMF) Component Failures Component internal failure;
U141201|VAC Blower Module Rear (VBMR)  General electrical failure;
U141283|VAC Blower Module Rear (VBMR) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U141287|VAC Blower Module Rear (VBMR) Bus Signal / Message Failures Missing message;
U141296|VAC Blower Module Rear (VBMR) Component Failures Component internal failure;
U141601|Air Fragance Unit (AFU)  General electrical failure;
U141683|Air Fragance Unit (AFU) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U141687|Air Fragance Unit (AFU) Bus Signal / Message Failures Missing message;
U141696|Air Fragance Unit (AFU) Component Failures Component internal failure;
U141701|Airborne Particulate Matter Sensor Indoor (PMSI)  General electrical failure;
U141783|Airborne Particulate Matter Sensor Indoor (PMSI) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U141787|Airborne Particulate Matter Sensor Indoor (PMSI) Bus Signal / Message Failures Missing message;
U141796|Airborne Particulate Matter Sensor Indoor (PMSI) Component Failures Component internal failure;
U142901|Carbon Dioxide Sensor (CDS)  General electrical failure;
U142983|Carbon Dioxide Sensor (CDS) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U142987|Carbon Dioxide Sensor (CDS) Bus Signal / Message Failures Missing message;
U142A01|Vent Grill Actuator1 (VGA1)  General electrical failure;
U142A71|Vent Grill Actuator1 (VGA1) Mechanical Failures Actuator stuck;
U142A83|Vent Grill Actuator1 (VGA1) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U142A87|Vent Grill Actuator1 (VGA1) Bus Signal / Message Failures Missing message;
U142B01|Vent Grill Actuator2 (VGA2)  General electrical failure;
U142B71|Vent Grill Actuator2 (VGA2) Mechanical Failures Actuator stuck;
U142B83|Vent Grill Actuator2 (VGA2) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U142B87|Vent Grill Actuator2 (VGA2) Bus Signal / Message Failures Missing message;
U142C01|Vent Grill Actuator3 (VGA3)  General electrical failure;
U142C71|Vent Grill Actuator3 (VGA3) Mechanical Failures Actuator stuck;
U142C83|Vent Grill Actuator3 (VGA3) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U142C87|Vent Grill Actuator3 (VGA3) Bus Signal / Message Failures Missing message;
U142D01|Vent Grill Actuator4 (VGA4)  General electrical failure;
U142D71|Vent Grill Actuator4 (VGA4) Mechanical Failures Actuator stuck;
U142D83|Vent Grill Actuator4 (VGA4) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U142D87|Vent Grill Actuator4 (VGA4) Bus Signal / Message Failures Missing message;
U142E01|Vent Grill Actuator5 (VGA5)  General electrical failure;
U142E71|Vent Grill Actuator5 (VGA5) Mechanical Failures Actuator stuck;
U142E83|Vent Grill Actuator5 (VGA5) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U142E87|Vent Grill Actuator5 (VGA5) Bus Signal / Message Failures Missing message;
U142F01|Vent Grill Actuator6 (VGA6)  General electrical failure;
U142F71|Vent Grill Actuator6 (VGA6) Mechanical Failures Actuator stuck;
U142F83|Vent Grill Actuator6 (VGA6) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U142F87|Vent Grill Actuator6 (VGA6) Bus Signal / Message Failures Missing message;
U143001|Vent Grill Actuator7 (VGA7)  General electrical failure;
U143071|Vent Grill Actuator7 (VGA7) Mechanical Failures Actuator stuck;
U143083|Vent Grill Actuator7 (VGA7) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143087|Vent Grill Actuator7 (VGA7) Bus Signal / Message Failures Missing message;
U143101|Vent Grill Actuator8 (VGA8)  General electrical failure;
U143171|Vent Grill Actuator8 (VGA8) Mechanical Failures Actuator stuck;
U143183|Vent Grill Actuator8 (VGA8) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143187|Vent Grill Actuator8 (VGA8) Bus Signal / Message Failures Missing message;
U143201|HVAC Flap Actuator1 (HFA1)  General electrical failure;
U143204|HVAC Flap Actuator1 (HFA1)  System Internal Failures;
U143283|HVAC Flap Actuator1 (HFA1) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143287|HVAC Flap Actuator1 (HFA1) Bus Signal / Message Failures Missing message;
U143301|HVAC Flap Actuator2 (HFA2)  General electrical failure;
U143304|HVAC Flap Actuator2 (HFA2)  System Internal Failures;
U143383|HVAC Flap Actuator2 (HFA2) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143387|HVAC Flap Actuator2 (HFA2) Bus Signal / Message Failures Missing message;
U143401|HVAC Flap Actuator3 (HFA3)  General electrical failure;
U143404|HVAC Flap Actuator3 (HFA3)  System Internal Failures;
U143483|HVAC Flap Actuator3 (HFA3) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143487|HVAC Flap Actuator3 (HFA3) Bus Signal / Message Failures Missing message;
U143501|HVAC Flap Actuator4(HFA4)  General electrical failure;
U143504|HVAC Flap Actuator4(HFA4)  System Internal Failures;
U143583|HVAC Flap Actuator4(HFA4) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143587|HVAC Flap Actuator4(HFA4) Bus Signal / Message Failures Missing message;
U143601|HVAC Flap Actuator5 (HFA5)  General electrical failure;
U143604|HVAC Flap Actuator5 (HFA5)  System Internal Failures;
U143683|HVAC Flap Actuator5 (HFA5) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143687|HVAC Flap Actuator5 (HFA5) Bus Signal / Message Failures Missing message;
U143701|HVAC Flap Actuator6 (HFA6)  General electrical failure;
U143704|HVAC Flap Actuator6 (HFA6)  System Internal Failures;
U143783|HVAC Flap Actuator6 (HFA6) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143787|HVAC Flap Actuator6 (HFA6) Bus Signal / Message Failures Missing message;
U143801|HVAC Flap Actuator7 (HFA7)  General electrical failure;
U143804|HVAC Flap Actuator7 (HFA7)  System Internal Failures;
U143883|HVAC Flap Actuator7 (HFA7) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143887|HVAC Flap Actuator7 (HFA7) Bus Signal / Message Failures Missing message;
U143901|HVAC Flap Actuator8 (HFA8)  General electrical failure;
U143904|HVAC Flap Actuator8 (HFA8)  System Internal Failures;
U143983|HVAC Flap Actuator8 (HFA8) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143987|HVAC Flap Actuator8 (HFA8) Bus Signal / Message Failures Missing message;
U143A01|HVAC Flap Actuator9 (HFA9)  General electrical failure;
U143A04|HVAC Flap Actuator9 (HFA9)  System Internal Failures;
U143A83|HVAC Flap Actuator9 (HFA9) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143A87|HVAC Flap Actuator9 (HFA9) Bus Signal / Message Failures Missing message;
U143B01|HVAC Flap Actuator10 (HFA10)  General electrical failure;
U143B04|HVAC Flap Actuator10 (HFA10)  System Internal Failures;
U143B83|HVAC Flap Actuator10 (HFA10) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143B87|HVAC Flap Actuator10 (HFA10) Bus Signal / Message Failures Missing message;
U143C01|HVAC Flap Actuator11 (HFA11)  General electrical failure;
U143C04|HVAC Flap Actuator11 (HFA11)  System Internal Failures;
U143C83|HVAC Flap Actuator11 (HFA11) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U143C87|HVAC Flap Actuator11 (HFA11) Bus Signal / Message Failures Missing message;
U144C87|Central Electronic Module (CEM)  Bus Signal / Message Failures Missing message;
U1C6088|CAN Bus #5 Bus Signal / Message Failures Bus off;
U230055|Central Configuration System Programming Failures Not configured;
U230056|Central Configuration System Programming Failures Invalid / incompatible configuration;
U230057|Central Configuration System Programming Failures Invalid / Incompatible Software Component;
U2E0068|Ambient Temperature Too High Algorithm Based Failures Event information;
U2E0168|Ambient Temperature Too Low Algorithm Based Failures Event information;
U2E0368|ECU Supply Voltage Too High  Algorithm Based Failures Event information;
U2E0468|ECU Supply Voltage Too Low Algorithm Based Failures Event information;
U300049|Control Module System Internal Failures Internal electronic failure;
U300362|Supply Voltage Algorithm Based Failures Signal compare failure;
