P048511|Fan Power/Ground Circuit General Electrical Failures Circuit short to ground;
P048512|Fan Power/Ground Circuit General Electrical Failures Circuit short to battery;
P048513|Fan Power/Ground Circuit General Electrical Failures Circuit open;
"P0A1B11|Drive Motor ""A"" Control Module General Electrical Failures Circuit short to ground;"
"P0A1B12|Drive Motor ""A"" Control Module General Electrical Failures Circuit short to battery;"
"P0A1C11|Drive Motor ""B"" Control Module General Electrical Failures Circuit short to ground;"
"P0A1C12|Drive Motor ""B"" Control Module General Electrical Failures Circuit short to battery;"
C105201|Side Object Detection Identical Configuration   General electrical failure;
C105256|Side Object Detection Identical Configuration  System Programming Failures Invalid / incompatible configuration;
B105B01|Seat Lumbar Down Output  General electrical failure;
B105C01|Seat Lumbar Rearward Output  General electrical failure;
B106101|Seat Lumbar Forward Output  General electrical failure;
B106201|Seat Lumbar Up Output  General electrical failure;
B112701|Seat Height Switch  General electrical failure;
B112771|Seat Height Switch Mechanical Failures Actuator stuck;
B112801|Seat Front Height Switch  General electrical failure;
B112871|Seat Front Height Switch Mechanical Failures Actuator stuck;
B112901|Seat Slide Switch  General electrical failure;
B112971|Seat Slide Switch Mechanical Failures Actuator stuck;
B113601|Seat Back Inclination Switch  General electrical failure;
B113671|Seat Back Inclination Switch Mechanical Failures Actuator stuck;
B113701|Lumbar Extend/Horizontal Multifunction Adjustment Switch  General electrical failure;
B113771|Lumbar Extend/Horizontal Multifunction Adjustment Switch Mechanical Failures Actuator stuck;
B113801|Lumbar Height/Vertical Multifunction Adjustment Switch  General electrical failure;
B113871|Lumbar Height/Vertical Multifunction Adjustment Switch Mechanical Failures Actuator stuck;
B113901|Integrated Multifunction Selector Switch  General electrical failure;
B113971|Integrated Multifunction Selector Switch Mechanical Failures Actuator stuck;
B115911|Front Driver Seat Heater Sensor General Electrical Failures Circuit short to ground;
B115915|Front Driver Seat Heater Sensor General Electrical Failures Circuit short to battery or open;
B115B11|Front Driver Seat Heater General Electrical Failures Circuit short to ground;
B115B15|Front Driver Seat Heater General Electrical Failures Circuit short to battery or open;
B14A213|Seat Height Motor General Electrical Failures Circuit open;
B14A313|Seat Front Height Motor General Electrical Failures Circuit open;
B14A413|Seat Slide Motor General Electrical Failures Circuit open;
B14A513|Seat Back Inclination Motor General Electrical Failures Circuit open;
B14A613|Seat Cushion Extend Motor General Electrical Failures Circuit open;
B14A801|Seat Height Motor Hall Sensor  General electrical failure;
B14A901|Seat Front Height Motor Hall Sensor  General electrical failure;
B14AA01|Seat Slide Motor Hall Sensor  General electrical failure;
B14AB01|Seat Back Inclination Motor Hall Sensor  General electrical failure;
B14AC01|Seat Cushion Extend Motor Hall Sensor  General electrical failure;
B151101|Lumbar Pump  General electrical failure;
B16F701|Seat Side Support Backrest Bolster  General electrical failure;
B16F801|Seat Side Support Cushion Bolster  General electrical failure;
B16F901|Seat Cushion Ventilation Fan  General electrical failure;
B16FA01|Seat Backrest Ventilation Fan  General electrical failure;
B178313|Seat Headrest Horizon Motor  General Electrical Failures Circuit open;
B178413|Seat Headrest Vertical Motor  General Electrical Failures Circuit open;
B178501|Seat Headrest Horizon Motor Hall Sensor   General electrical failure;
B178601|Seat Headrest Vertical Motor Hall Sensor   General electrical failure;
B17D301|Seat Headrest Length Switch  General electrical failure;
B17D371|Seat Headrest Length Switch Mechanical Failures Actuator stuck;
B17D401|Seat Headrest Height Switch  General electrical failure;
B17D471|Seat Headrest Height Switch Mechanical Failures Actuator stuck;
U003755|Vehicle Communication Bus B System Programming Failures Not configured;
U003788|Vehicle Communication Bus B Bus Signal / Message Failures Bus off;
"U102268|ECU Quiescent Current Too High, No Network Communication Requested  Algorithm Based Failures Event information;"
U140801|Massage Module Driver (MMD)  General electrical failure;
U140804|Massage Module Driver (MMD)  System Internal Failures;
U140809|Massage Module Driver (MMD)  Component Failures;
U140883|Massage Module Driver (MMD) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U140886|Massage Module Driver (MMD) Bus Signal / Message Failures Signal invalid;
U140887|Massage Module Driver (MMD) Bus Signal / Message Failures Missing message;
U200A04|Control Module Internal Power A  System Internal Failures;
U230055|Central Configuration System Programming Failures Not configured;
U230056|Central Configuration System Programming Failures Invalid / incompatible configuration;
U230057|Central Configuration System Programming Failures Invalid / Incompatible Software Component;
U240057|ECU Software System Programming Failures Invalid / Incompatible Software Component;
U300362|Supply Voltage Algorithm Based Failures Signal compare failure;
